,solution_id,contest_id,submission_time,realtive_time,problem_index,problem_name,problem_type,points,tags,team,participant_type,language,verdict,test_case,time,memory
0,45739393,1062,1542216584,6884,E,Company,PROGRAMMING,2500.0,"['binary search', 'data structures', 'dfs and similar', 'greedy', 'trees']",0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,9,716,64800.0
1,45733834,1062,1542214771,5071,E,Company,PROGRAMMING,2500.0,"['binary search', 'data structures', 'dfs and similar', 'greedy', 'trees']",0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,9,701,49000.0
2,45733043,1062,1542214509,4809,E,Company,PROGRAMMING,2500.0,"['binary search', 'data structures', 'dfs and similar', 'greedy', 'trees']",0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,9,685,36200.0
3,45720017,1062,1542211163,1463,C,Banh-mi,PROGRAMMING,1500.0,"['greedy', 'implementation', 'math']",0,OUT_OF_COMPETITION,GNU C++17,OK,27,139,9100.0
4,45717307,1062,1542210626,926,A,A Prank,PROGRAMMING,500.0,"['greedy', 'implementation']",0,OUT_OF_COMPETITION,GNU C++17,OK,99,31,8100.0
5,45716824,1062,1542210527,827,B,Math,PROGRAMMING,1000.0,"['greedy', 'math', 'number theory']",0,OUT_OF_COMPETITION,GNU C++17,OK,58,31,300.0
6,45716012,1062,1542210377,677,B,Math,PROGRAMMING,1000.0,"['greedy', 'math', 'number theory']",0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,2,0,200.0
7,45713874,1062,1542209850,150,A,A Prank,PROGRAMMING,500.0,"['greedy', 'implementation']",0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,6,15,8100.0
8,45617633,1076,1542037099,3799,D,Edge Deletion,PROGRAMMING,0.0,"['graphs', 'greedy', 'shortest paths']",0,CONTESTANT,GNU C++17,OK,73,873,51900.0
9,45614823,1076,1542036476,3176,E,Vasya and a Tree,PROGRAMMING,0.0,"['data structures', 'dp', 'trees']",0,CONTESTANT,GNU C++17,OK,39,733,74700.0
10,45612997,1076,1542036112,2812,E,Vasya and a Tree,PROGRAMMING,0.0,"['data structures', 'dp', 'trees']",0,CONTESTANT,GNU C++17,TIME_LIMIT_EXCEEDED,6,2000,26800.0
11,45611840,1076,1542035893,2593,E,Vasya and a Tree,PROGRAMMING,0.0,"['data structures', 'dp', 'trees']",0,CONTESTANT,GNU C++17,TIME_LIMIT_EXCEEDED,6,2000,26600.0
12,45602273,1076,1542034417,1117,B,Divisor Subtraction,PROGRAMMING,0.0,"['implementation', 'math', 'number theory']",0,CONTESTANT,GNU C++17,OK,10,15,200.0
13,45598134,1076,1542033870,570,C,Meme Problem,PROGRAMMING,0.0,"['binary search', 'math']",0,CONTESTANT,GNU C++17,OK,5,30,400.0
14,45595623,1076,1542033585,285,B,Divisor Subtraction,PROGRAMMING,0.0,"['implementation', 'math', 'number theory']",0,CONTESTANT,GNU C++17,WRONG_ANSWER,4,15,200.0
15,45594589,1076,1542033420,120,A,Minimizing the String,PROGRAMMING,0.0,"['greedy', 'strings']",0,CONTESTANT,GNU C++17,OK,47,31,1000.0
16,45572033,427,1541961516,2147483647,D,Match & Catch,PROGRAMMING,2000.0,"['dp', 'string suffix structures', 'strings']",0,PRACTICE,GNU C++17,RUNTIME_ERROR,8,93,89500.0
17,45534478,1055,1541868143,7643,E,Segments on the Line,PROGRAMMING,2750.0,"['binary search', 'dp']",0,CONTESTANT,GNU C++17,OK,48,234,9200.0
18,45529492,1055,1541865672,5172,C,Lucky Days,PROGRAMMING,1500.0,"['math', 'number theory']",0,CONTESTANT,GNU C++17,OK,29,31,300.0
19,45516709,1055,1541861283,783,B,Alice and Hairdresser,PROGRAMMING,1000.0,"['dsu', 'implementation']",0,CONTESTANT,GNU C++17,OK,47,124,1000.0
20,45514232,1055,1541860815,315,A,Metro,PROGRAMMING,500.0,['graphs'],0,CONTESTANT,GNU C++17,OK,56,31,300.0
21,45496173,101807,1541811335,8135,J,Jakanda Forever,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,OK,27,1637,107800.0
22,45496147,101807,1541811160,7960,B,Bob the Builder,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,WRONG_ANSWER,1,93,0.0
23,45496043,101807,1541810507,7307,F,Final Fixture,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,OK,50,468,400.0
24,45496027,101807,1541810424,7224,F,Final Fixture,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,WRONG_ANSWER,7,499,400.0
25,45495952,101807,1541809941,6741,L,Labyrinth,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,OK,82,109,0.0
26,45495920,101807,1541809724,6524,L,Labyrinth,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,WRONG_ANSWER,3,93,0.0
27,45495813,101807,1541808927,5727,J,Jakanda Forever,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,WRONG_ANSWER,2,358,65000.0
28,45495799,101807,1541808816,5616,J,Jakanda Forever,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,WRONG_ANSWER,2,358,64700.0
29,45495498,101807,1541806646,3446,H,Handicap,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,OK,14,358,3400.0
30,45495436,101807,1541806188,2988,D,Differentiation,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,OK,23,30,200.0
31,45495262,101807,1541805103,1903,K,Kids' Entertainment,PROGRAMMING,0.0,[],1,VIRTUAL,GNU C++17,OK,2,15,200.0
32,45495202,101807,1541804795,1595,I,Infection,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,OK,64,451,15800.0
33,45495136,101807,1541804436,1236,I,Infection,PROGRAMMING,0.0,[],1,VIRTUAL,Java 8,WRONG_ANSWER,56,421,15800.0
