id,name,type,phase,frozen,durationSeconds,startTimeSeconds,relativeTimeSeconds
1056,Mail.Ru Cup 2018 Round 3,CF,BEFORE,False,9000,1543163700,-917403
1080,Codeforces Round #524 (Div. 2),CF,BEFORE,False,7200,1543044900,-798603
1061,Codeforces Round #523 (Div. 2),CF,BEFORE,False,7200,1542900900,-654603
1032,Technocup 2019 - Elimination Round 3,CF,BEFORE,False,7200,1542557100,-310803
1078,"Codeforces Round #522 (Div. 1, based on Technocup 2019 Elimination Round 3)",CF,BEFORE,False,7200,1542557100,-310803
1079,"Codeforces Round #522 (Div. 2, based on Technocup 2019 Elimination Round 3)",CF,BEFORE,False,7200,1542557100,-310803
1050,Технокубок 2019 - Ознакомительный Раунд 3,CF,BEFORE,False,172800,1542380700,-134403
1077,Codeforces Round #521 (Div. 3),ICPC,BEFORE,False,7200,1542378900,-132604
1062,Codeforces Round #520 (Div. 2),CF,FINISHED,False,7200,1542209700,36597
1076,Educational Codeforces Round 54 (Rated for Div. 2),ICPC,FINISHED,False,7200,1542033300,212997
1055,Mail.Ru Cup 2018 Round 2,CF,FINISHED,False,9000,1541860500,385797
1044,Lyft Level 5 Challenge 2018 - Final Round,CF,FINISHED,False,7200,1541355000,891297
1074,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),CF,FINISHED,False,9000,1541355000,891297
1075,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2),CF,FINISHED,False,9000,1541355000,891297
1043,Codeforces Round #519 by Botan Investments,CF,FINISHED,False,7200,1540740900,1505397
1073,Educational Codeforces Round 53 (Rated for Div. 2),ICPC,FINISHED,False,7200,1540478100,1768197
1067,"Codeforces Round #518 (Div. 1) [Thanks, Mail.Ru!]",CF,FINISHED,False,7200,1540398900,1847397
1068,"Codeforces Round #518 (Div. 2) [Thanks, Mail.Ru!]",CF,FINISHED,False,7200,1540398900,1847397
1031,Technocup 2019 - Elimination Round 2,CF,FINISHED,False,7200,1540109400,2136897
1071,"Codeforces Round #517 (Div. 1, based on Technocup 2019 Elimination Round 2)",CF,FINISHED,False,7200,1540109400,2136897
1072,"Codeforces Round #517 (Div. 2, based on Technocup 2019 Elimination Round 2)",CF,FINISHED,False,7200,1540109400,2136897
1070,"2018-2019 ICPC, NEERC, Southern Subregional Contest (Online Mirror, ACM-ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1540022700,2223597
1049,Технокубок 2019 - Ознакомительный Раунд 2,CF,FINISHED,False,172800,1539932700,2313597
1054,Mail.Ru Cup 2018 Round 1,CF,FINISHED,False,9000,1539880500,2365797
1063,"Codeforces Round #516 (Div. 1, by Moscow Team Olympiad)",CF,FINISHED,False,7200,1539511500,2734797
1064,"Codeforces Round #516 (Div. 2, by Moscow Team Olympiad)",CF,FINISHED,False,7200,1539511500,2734797
1066,Codeforces Round #515 (Div. 3),ICPC,FINISHED,False,7200,1539354900,2891397
1057,Mail.Ru Cup 2018 - Practice Round,CF,FINISHED,False,259200,1539335100,2911197
1065,Educational Codeforces Round 52 (Rated for Div. 2),ICPC,FINISHED,False,7200,1539269400,2976897
1033,Lyft Level 5 Challenge 2018 - Elimination Round,CF,FINISHED,False,7200,1538931900,3314397
1059,Codeforces Round #514 (Div. 2),CF,FINISHED,False,7200,1538750100,3496197
1060,"Codeforces Round #513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",CF,FINISHED,False,9000,1538636700,3609597
1030,Technocup 2019 - Elimination Round 1,CF,FINISHED,False,7200,1537707900,4538397
1053,"Codeforces Round #512 (Div. 1, based on Technocup 2019 Elimination Round 1)",CF,FINISHED,False,7200,1537707900,4538397
1058,"Codeforces Round #512 (Div. 2, based on Technocup 2019 Elimination Round 1)",CF,FINISHED,False,7200,1537707900,4538397
1045,"Bubble Cup 11 - Finals [Online Mirror, Div. 1]",ICPC,FINISHED,False,18000,1537612500,4633797
1046,"Bubble Cup 11 - Finals [Online Mirror, Div. 2]",ICPC,FINISHED,False,18000,1537612500,4633797
1034,Codeforces Round #511 (Div. 1),CF,FINISHED,False,7200,1537540500,4705797
1047,Codeforces Round #511 (Div. 2),CF,FINISHED,False,7200,1537540500,4705797
1048,Технокубок 2019 - Ознакомительный Раунд 1,CF,FINISHED,False,172800,1537531500,4714797
1052,Huawei Honorcup Marathon 1,IOI,FINISHED,False,1209600,1537462800,4783497
1051,Educational Codeforces Round 51 (Rated for Div. 2),ICPC,FINISHED,False,7200,1537454700,4791597
1042,Codeforces Round #510 (Div. 2),CF,FINISHED,False,7200,1537171500,5074797
1041,Codeforces Round #509 (Div. 2),CF,FINISHED,False,7200,1537094100,5152197
1036,Educational Codeforces Round 50 (Rated for Div. 2),ICPC,FINISHED,False,7200,1536330900,5915397
1038,Codeforces Round #508 (Div. 2),CF,FINISHED,False,7200,1536248100,5998197
1039,"Codeforces Round #507 (Div. 1, based on Olympiad of Metropolises)",CF,FINISHED,False,7200,1536165300,6080997
1040,"Codeforces Round #507 (Div. 2, based on Olympiad of Metropolises)",CF,FINISHED,False,7200,1536165300,6080997
1037,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",CF,FINISHED,False,7200,1535898900,6347397
