contestId,name,index,points,tags,solvedCount
1076,Array Game,G,,"['data structures', 'games']",28
1076,Summer Practice Report,F,,"['dp', 'greedy']",230
1076,Vasya and a Tree,E,,"['data structures', 'dp', 'trees']",1056
1076,Edge Deletion,D,,"['graphs', 'greedy', 'shortest paths']",1439
1076,Meme Problem,C,,"['binary search', 'math']",4054
1076,Divisor Subtraction,B,,"['implementation', 'math', 'number theory']",4484
1076,Minimizing the String,A,,"['greedy', 'strings']",4978
1075,Taxi drivers and Lyft,B,1000.0,"['implementation', 'sortings']",2582
1075,The King's Race,A,500.0,"['implementation', 'math']",3610
1073,Yet Another LCP Problem,G,,"['data structures', 'string suffix structures']",127
1073,Choosing Two Paths,F,,"['dfs and similar', 'dp', 'greedy', 'trees']",165
1073,Segment Sum,E,,"['bitmasks', 'combinatorics', 'dp', 'math']",781
1073,Berland Fair,D,,"['binary search', 'brute force', 'data structures', 'greedy']",3106
1073,Vasya and Robot,C,,"['binary search', 'two pointers']",2166
1073,Vasya and Books,B,,"['implementation', 'math']",6100
1073,Diverse Substring,A,,"['implementation', 'strings']",6900
1071,Rain Protection,E,2250.0,"['binary search', 'geometry']",19
1070,Algoland and Berland,M,,"['constructive algorithms', 'divide and conquer', 'geometry']",28
1070,Odd Federalization,L,,['constructive algorithms'],92
1070,Video Posts,K,,['implementation'],2665
1070,Streets and Avenues in Berhattan,J,,['dp'],349
1070,Privatization of Roads in Berland,I,,"['flows', 'graphs']",240
1070,BerOS File Suggestion,H,,['brute force'],2171
1070,Monsters and Potions,G,,"['brute force', 'dp', 'greedy']",517
1070,Debate,F,,['greedy'],2045
1070,Getting Deals Done,E,,"['binary search', 'data structures']",705
1070,Garbage Disposal,D,,['greedy'],2610
1070,Cloud Computing,C,,"['data structures', 'greedy']",1087
1070,Berkomnadzor,B,,"['data structures', 'greedy']",317
1070,Find a Number,A,,"['dp', 'graphs', 'number theory', 'shortest paths']",1008
1068,Colored Rooks,C,1500.0,"['constructive algorithms', 'graphs']",1630
1068,LCM,B,1250.0,['math'],4186
1068,Birthday,A,500.0,['math'],3521
1067,Random Forest Rank,E,2500.0,"['dp', 'graph matchings', 'math', 'trees']",81
1067,Computer Game,D,2250.0,"['dp', 'greedy', 'math', 'probabilities']",45
1067,Knights,C,1750.0,['constructive algorithms'],273
1067,Multihedgehog,B,1000.0,['dfs and similar'],1030
1067,Array Without Local Maximums ,A,500.0,['dp'],1044
1066,Yet another 2D Walking,F,,['dp'],660
1066,Binary Numbers AND Sum,E,,"['data structures', 'implementation', 'math']",2221
1066,Boxes Packing,D,,"['binary search', 'implementation']",2123
1066,Books Queries,C,,['implementation'],3750
1066,Heaters,B,,['two pointers'],3227
1066,Vova and Train,A,,['math'],6203
1065,Fibonacci Suffix,G,,['strings'],59
1065,Up and Down the Tree,F,,"['dfs and similar', 'dp', 'trees']",354
1065,Side Transmutations,E,,"['combinatorics', 'strings']",454
1065,Three Pieces,D,,"['dfs and similar', 'dp', 'shortest paths']",679
1065,Make It Equal,C,,['greedy'],3588
1065,Vasya and Isolated Vertices,B,,['constructive algorithms'],5136
1065,Vasya and Chocolate,A,,['math'],7339
1064,Equations of Mathematical Magic,B,1000.0,['math'],4923
1064,Make a triangle!,A,500.0,"['brute force', 'geometry', 'math']",6686
1063,String Journey,F,2500.0,"['data structures', 'dp', 'string suffix structures']",84
1063,Lasers and Mirrors,E,2000.0,"['constructive algorithms', 'math']",101
1063,Candies for Children,D,1500.0,"['brute force', 'math']",206
1063,"Dwarves, Hats and Extrasensory Abilities",C,1000.0,"['binary search', 'constructive algorithms']",1541
1063,Labyrinth,B,1000.0,"['graphs', 'shortest paths']",2611
1063,Oh Those Palindromes,A,500.0,"['constructive algorithms', 'strings']",5348
1062,Upgrading Cities,F,3000.0,[],12
1062,Company,E,2500.0,"['binary search', 'data structures', 'greedy', 'trees']",243
1062,Fun with Integers,D,2000.0,"['dfs and similar', 'graphs', 'implementation', 'math']",1055
1062,Banh-mi,C,1500.0,"['greedy', 'math']",1897
1062,Math,B,1000.0,"['math', 'number theory']",1994
1062,A Prank,A,500.0,"['greedy', 'implementation']",2670
1060,Sophisticated Device,H,3000.0,['constructive algorithms'],45
1060,Balls and Pockets,G,2750.0,['data structures'],22
1060,Shrinking Tree,F,2250.0,"['combinatorics', 'dp']",119
1060,Sergey and Subway,E,1750.0,"['dfs and similar', 'dp', 'trees']",1298
1060,Social Circles,D,1500.0,"['greedy', 'math']",2126
1060,Maximum Subrectangle,C,1250.0,"['binary search', 'implementation', 'two pointers']",2802
1060,Maximum Sum of Digits,B,750.0,['greedy'],4969
1060,Phone Numbers,A,500.0,['brute force'],6261
1059,Split the Tree,E,2500.0,"['binary search', 'data structures', 'dp', 'greedy', 'trees']",568
1059,Nature Reserve,D,2000.0,"['binary search', 'geometry', 'ternary search']",1323
1059,Sequence Transformation,C,1500.0,"['constructive algorithms', 'math']",3769
1059,Forgery,B,1000.0,['implementation'],4548
1059,Cashier,A,500.0,['implementation'],6645
1057,Tanya and Colored Candies,C,1500.0,['dp'],274
1057,DDoS,B,1000.0,['brute force'],902
1057,Bmail Computer Network,A,500.0,"['dfs and similar', 'trees']",1566
1055,Jellyfish Nightmare,G,4000.0,[],11
1055,Tree and XOR,F,3500.0,"['strings', 'trees']",99
1055,Segments on the Line,E,2750.0,"['binary search', 'dp']",257
1055,Refactoring,D,2250.0,"['greedy', 'implementation', 'strings']",350
1055,Lucky Days,C,1500.0,"['math', 'number theory']",1009
1055,Alice and Hairdresser,B,1000.0,"['dsu', 'implementation']",2588
1055,Metro,A,500.0,['graphs'],3422
1054,Epic Convolution,H,4000.0,"['chinese remainder theorem', 'fft', 'math', 'number theory']",20
1054,New Road Network,G,3000.0,"['constructive algorithms', 'greedy', 'math']",41
1054,Electric Scheme,F,2250.0,"['flows', 'graph matchings']",134
1054,Chips Puzzle,E,2000.0,"['constructive algorithms', 'implementation', 'math']",290
1054,Changing Array,D,1500.0,"['greedy', 'implementation']",1297
1054,Candies Distribution,C,1250.0,"['constructive algorithms', 'implementation']",2878
1054,Appending Mex,B,750.0,['implementation'],4204
1054,Elevator or Stairs?,A,500.0,['implementation'],5023
1053,Euler tour,E,2500.0,"['constructive algorithms', 'trees']",37
1051,Distinctification,G,,"['data structures', 'dsu', 'greedy']",65
1051,The Shortest Statement,F,,"['graphs', 'shortest paths', 'trees']",760
1051,Vasya and Big Integers,E,,"['binary search', 'data structures', 'dp', 'hashing', 'strings']",281
1051,Bicolorings,D,,"['bitmasks', 'dp']",2733
1051,Vasya and Multisets,C,,"['brute force', 'dp', 'greedy', 'implementation', 'math']",4244
1051,Relatively Prime Pairs,B,,"['greedy', 'math', 'number theory']",6212
1051,Vasya And Password,A,,"['greedy', 'implementation', 'strings']",5324
1047,Cover Points,B,1000.0,"['geometry', 'math']",7628
1047,Little C Loves 3 I,A,500.0,['math'],8280
1046,Say Hello,I,,['geometry'],136
1046,Splitting money,F,,['implementation'],1328
1046,Space Formula,C,,['greedy'],1452
1045,Moonwalk challenge,J,,"['data structures', 'strings', 'trees']",51
1045,Palindrome Pairs,I,,"['hashing', 'strings']",1369
1045,Self-exploration,H,,['math'],134
1045,AI robots,G,,['data structures'],533
1045,Shady Lady,F,,"['geometry', 'math']",27
1045,Ancient civilizations,E,,"['constructive algorithms', 'geometry']",29
1045,Interstellar battle,D,,"['math', 'probabilities', 'trees']",262
1045,Hyperspace Highways,C,,"['dfs and similar', 'graphs', 'trees']",317
1045,Space Isaac,B,,"['hashing', 'number theory']",264
1045,Last chance,A,,"['data structures', 'flows', 'graph matchings', 'trees']",101
1044,DFS,F,3000.0,['data structures'],132
1044,Grid Sort,E,2750.0,['implementation'],33
1044,Deduction Queries,D,2000.0,"['data structures', 'dsu']",362
1044,Optimal Polygon Perimeter,C,1500.0,"['dp', 'geometry']",614
1044,Intersecting Subtrees,B,1250.0,"['dfs and similar', 'trees']",863
1044,The Tower is Going Home,A,750.0,"['binary search', 'two pointers']",1672
1043,Speckled Band,G,3500.0,"['data structures', 'divide and conquer', 'hashing', 'string suffix structures', 'strings']",22
1043,Make It One,F,2750.0,"['bitmasks', 'combinatorics', 'dp', 'math', 'number theory', 'shortest paths']",646
1043,"Train Hard, Win Easy",E,2250.0,"['constructive algorithms', 'greedy', 'math', 'sortings']",1625
1043,Mysterious Crime,D,2000.0,"['brute force', 'combinatorics', 'math', 'meet-in-the-middle', 'two pointers']",2572
1043,Smallest Word,C,1500.0,"['constructive algorithms', 'greedy', 'implementation']",3726
1043,Lost Array,B,1000.0,['implementation'],4349
1043,Elections,A,500.0,"['implementation', 'math']",6226
1042,Leaf Sets,F,2750.0,"['data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings', 'trees']",606
1042,Vasya and Magic Matrix,E,2250.0,"['dp', 'math', 'probabilities']",624
1042,Petya and Array,D,2000.0,"['data structures', 'divide and conquer', 'two pointers']",2149
1042,Array Product,C,1500.0,"['constructive algorithms', 'greedy', 'math']",2615
1042,Vitamins,B,1000.0,"['bitmasks', 'brute force', 'dp', 'implementation']",4813
1042,Benches,A,500.0,"['binary search', 'implementation']",5752
1041,Ray in the tube,F,3000.0,"['data structures', 'divide and conquer', 'dp', 'math']",698
1041,Tree Reconstruction,E,2500.0,"['constructive algorithms', 'data structures', 'graphs', 'greedy']",1726
1041,Glider,D,2000.0,"['binary search', 'data structures', 'two pointers']",3088
1041,Coffee Break,C,1500.0,"['binary search', 'data structures', 'greedy', 'two pointers']",4239
1041,Buying a TV Set,B,1000.0,['math'],6979
1041,Heist,A,500.0,"['greedy', 'implementation', 'sortings']",8826
1040,Shashlik Cooking,B,1000.0,"['dp', 'greedy', 'math']",4311
1040,Palindrome Dance,A,500.0,['greedy'],5960
1039,Summer Oenothera Exhibition,E,2500.0,['data structures'],38
1039,You Are Given a Tree,D,2000.0,"['data structures', 'dp', 'trees']",255
1039,Network Safety,C,1500.0,"['dfs and similar', 'dsu', 'graphs', 'math', 'sortings']",676
1039,Subway Pursuit,B,1000.0,"['binary search', 'probabilities']",1218
1039,Timetable,A,750.0,"['constructive algorithms', 'data structures', 'greedy', 'math']",468
1038,Wrap Around,F,2750.0,"['dp', 'strings']",129
1038,Maximum Matching,E,2250.0,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs']",564
1038,Slime,D,1750.0,"['dp', 'greedy', 'implementation']",3486
1038,Gambling,C,1500.0,"['greedy', 'sortings']",5465
1038,Non-Coprime Partition,B,1000.0,"['constructive algorithms', 'math']",6667
1038,Equality,A,500.0,"['implementation', 'strings']",7587
1037,Security,H,4000.0,"['data structures', 'string suffix structures']",89
1037,A Game on Strings,G,3500.0,['games'],106
1037,Maximum Reduction,F,3000.0,"['combinatorics', 'data structures', 'math']",527
1037,Trips,E,2250.0,['graphs'],1527
1037,Valid BFS?,D,1500.0,"['dfs and similar', 'graphs', 'shortest paths', 'trees']",4092
1037,Equalize,C,1000.0,"['dp', 'greedy', 'strings']",5901
