,solution_id,contest_id,submission_time,relative_time,problem_index,problem_name,problem_type,points,tags,team,participant_type,language,verdict,test_case,time,memory
0,46294024,580,1543359672,2147483647,D,Kefa and Dishes,PROGRAMMING,2000.0,"['bitmasks', 'dp']",0,PRACTICE,GNU C++17,OK,50,561,39000.0
1,46294009,580,1543359600,2147483647,D,Kefa and Dishes,PROGRAMMING,2000.0,"['bitmasks', 'dp']",0,PRACTICE,GNU C++17,WRONG_ANSWER,9,46,39000.0
2,46222190,1056,1543169556,5856,E,Check Transcription,PROGRAMMING,2500.0,"['brute force', 'hashing', 'strings']",0,CONTESTANT,GNU C++17,OK,30,109,10400.0
3,46217851,1056,1543167164,3464,C,Pick Heroes,PROGRAMMING,1500.0,"['greedy', 'implementation', 'sortings']",0,CONTESTANT,GNU C++17,OK,37,46,200.0
4,46217335,1056,1543166912,3212,C,Pick Heroes,PROGRAMMING,1500.0,"['greedy', 'implementation', 'sortings']",0,CONTESTANT,GNU C++17,WRONG_ANSWER,1,0,100.0
5,46217066,1056,1543166790,3090,D,Decorate Apple Tree,PROGRAMMING,2000.0,"['constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'sortings', 'trees']",0,CONTESTANT,GNU C++17,OK,17,93,11500.0
6,46216661,1056,1543166587,2887,C,Pick Heroes,PROGRAMMING,1500.0,"['greedy', 'implementation', 'sortings']",0,CONTESTANT,GNU C++17,IDLENESS_LIMIT_EXCEEDED,0,0,0.0
7,46213337,1056,1543164935,1235,B,Divide Candies,PROGRAMMING,1000.0,"['math', 'number theory']",0,CONTESTANT,GNU C++17,OK,20,30,0.0
8,46212550,1056,1543164573,873,B,Divide Candies,PROGRAMMING,1000.0,"['math', 'number theory']",0,CONTESTANT,GNU C++17,WRONG_ANSWER,9,30,0.0
9,46209709,1056,1543163891,191,A,Determine Line,PROGRAMMING,500.0,['implementation'],0,CONTESTANT,GNU C++17,OK,20,31,0.0
10,46152154,1080,1543046627,1727,C,Masha and two friends,PROGRAMMING,1250.0,['implementation'],0,OUT_OF_COMPETITION,GNU C++17,WRONG_ANSWER,1,15,0.0
11,46146619,1080,1543045250,350,B,Margarite and the best present,PROGRAMMING,750.0,['math'],0,OUT_OF_COMPETITION,GNU C++17,OK,40,31,0.0
12,46145330,1080,1543045072,172,A,Petya and Origami,PROGRAMMING,500.0,['math'],0,OUT_OF_COMPETITION,GNU C++17,OK,34,31,0.0
13,46122844,102006,1542993255,11655,F,Pretests,PROGRAMMING,0.0,[],1,CONTESTANT,Java 8,OK,2,2745,15700.0
14,46122754,102006,1542993043,11443,F,Pretests,PROGRAMMING,0.0,[],1,CONTESTANT,Java 8,WRONG_ANSWER,1,2730,15600.0
15,46121972,102006,1542991501,9901,H,Bugged System,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,GNU C++17,OK,2,1294,8000.0
16,46121887,102006,1542991344,9744,H,Bugged System,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,GNU C++17,WRONG_ANSWER,1,1279,8000.0
17,46121439,102006,1542990555,8955,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,Java 8,OK,2,280,12000.0
18,46120595,102006,1542989078,7478,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,Java 8,WRONG_ANSWER,1,233,12000.0
19,46120510,102006,1542988933,7333,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,Java 8,RUNTIME_ERROR,1,108,0.0
20,46119994,102006,1542987959,6359,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,Java 8,RUNTIME_ERROR,1,108,0.0
21,46118923,102006,1542986044,4444,I,Rise of the Robots,PROGRAMMING,0.0,[],1,CONTESTANT,GNU C++17,WRONG_ANSWER,0,31,31400.0
22,46118325,102006,1542985138,3538,F,Pretests,PROGRAMMING,0.0,[],1,CONTESTANT,GNU C++17,WRONG_ANSWER,1,873,5900.0
23,46118098,102006,1542984752,3152,F,Pretests,PROGRAMMING,0.0,[],1,CONTESTANT,GNU C++17,WRONG_ANSWER,1,904,5900.0
24,46117375,102006,1542983596,1996,D,Carnival Slots,PROGRAMMING,0.0,"['dp', 'greedy']",1,CONTESTANT,Java 8,OK,2,202,0.0
25,46117221,102006,1542983366,1766,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,GNU C++17,WRONG_ANSWER,1,61,2000.0
26,46117120,102006,1542983171,1571,C,Portals,PROGRAMMING,0.0,['greedy'],1,CONTESTANT,GNU C++17,WRONG_ANSWER,1,62,2000.0
27,46116335,102006,1542982012,412,A,Hello SCPC 2018!,PROGRAMMING,0.0,[],1,CONTESTANT,GNU C++17,OK,2,15,100.0
28,46116196,102006,1542981825,225,B,Binary Hamming,PROGRAMMING,0.0,[],1,CONTESTANT,GNU C++17,OK,2,15,100.0
29,46095594,1061,1542930123,2147483647,F,Lost Root,PROGRAMMING,2750.0,['probabilities'],0,PRACTICE,GNU C++17,OK,176,218,2200.0
30,46095154,1061,1542927582,2147483647,D,TV Shows,PROGRAMMING,2000.0,"['data structures', 'greedy', 'implementation', 'sortings']",0,PRACTICE,GNU C++17,OK,75,155,7200.0
31,46095145,1061,1542927511,2147483647,D,TV Shows,PROGRAMMING,2000.0,"['data structures', 'greedy', 'implementation', 'sortings']",0,PRACTICE,GNU C++17,WRONG_ANSWER,9,46,4000.0
32,46095097,1061,1542927247,2147483647,C,Multiplicity,PROGRAMMING,1500.0,"['data structures', 'dp', 'implementation', 'math', 'number theory']",0,PRACTICE,GNU C++17,OK,74,1201,15900.0
33,46095090,1061,1542927235,2147483647,D,TV Shows,PROGRAMMING,2000.0,"['data structures', 'greedy', 'implementation', 'sortings']",0,PRACTICE,GNU C++17,WRONG_ANSWER,0,15,15800.0
34,46095083,1061,1542927217,2147483647,B,Views Matter,PROGRAMMING,1000.0,"['greedy', 'implementation', 'sortings']",0,PRACTICE,GNU C++17,OK,91,46,800.0
35,46095081,1061,1542927202,2147483647,A,Coins,PROGRAMMING,500.0,"['greedy', 'implementation', 'math']",0,PRACTICE,GNU C++17,OK,55,31,0.0
36,46095066,1061,1542927129,2147483647,F,Lost Root,PROGRAMMING,2750.0,['probabilities'],0,PRACTICE,GNU C++17,OK,176,140,1800.0
37,46042984,56,1542836228,2147483647,E,Domino Principle,PROGRAMMING,2500.0,"['binary search', 'data structures', 'sortings']",0,PRACTICE,GNU C++17,OK,34,684,17700.0
38,45963943,650,1542632339,2147483647,B,Image Preview,PROGRAMMING,1000.0,"['binary search', 'dp', 'two pointers']",0,PRACTICE,GNU C++17,OK,41,77,19200.0
39,45963870,667,1542632246,2147483647,C,Reberland Linguistics,PROGRAMMING,1500.0,"['dp', 'strings']",0,PRACTICE,GNU C++17,OK,48,46,3300.0
40,45963855,666,1542632224,2147483647,A,Reberland Linguistics,PROGRAMMING,500.0,"['dp', 'implementation', 'strings']",0,PRACTICE,GNU C++17,OK,48,46,3300.0
41,45963821,495,1542632160,2147483647,C,Treasure,PROGRAMMING,1500.0,"['greedy', 'implementation']",0,PRACTICE,GNU C++17,OK,56,31,16200.0
42,45963807,494,1542632140,2147483647,A,Treasure,PROGRAMMING,500.0,['greedy'],0,PRACTICE,GNU C++17,OK,56,31,16200.0
