handle,rank,oldRating,newRating
zyb,1,1587,1733
BlakeGriffin,2,1607,1741
tah,3,1641,1754
McCrea,4,1663,1762
uuuuuu,5,1622,1746
gerw,6,1696,1772
Oidiot,7,1404,1636
henviso,8,1596,1734
Basement,9,1385,1624
Neodym,10,1527,1702
taxicoo,11,1655,1755
henyumen,12,1548,1711
ydnl00,13,1438,1654
niabby,14,1681,1763
Amor727,15,1579,1723
Losanto,16,1500,1686
shubhamsaxena,17,1607,1734
ValterKarpov,18,1500,1730
artem1416,19,1635,1744
wonjohn.choi,20,1500,1730
quailty,21,1602,1730
Richard_yang,21,1436,1651
m80126colin,23,1492,1680
3---Dd8,24,1604,1729
loserup,24,1667,1752
milkiss,26,1379,1615
flashfire,27,1457,1660
ac-fly,28,1682,1755
gmhshanest,29,1591,1722
sky_fire,30,1390,1620
h_thies,31,1591,1721
minblue,32,1653,1743
mjy0724,32,1424,1640
khoaipxse02933,34,1635,1736
wilspi,35,1454,1655
_Spark,36,1478,1668
0x00FFFFFF,36,1622,1730
vlade087,38,1546,1699
Ttran_Pphu,39,1638,1735
VukVukovic,40,1589,1716
eycia,40,1469,1662
yevhenii44,42,1631,1731
Shiki,42,1547,1698
internom,44,1579,1710
latte0119,44,1500,1722
sarah_locke,46,1500,1721
Alnair,47,1537,1691
krinkin.m,48,1559,1701
exploringraj,49,1699,1748
karklenator,50,1632,1727
sergio10barca,51,1665,1737
awc,52,1582,1708
NotDeep94,53,1491,1668
sogun,54,1575,1704
Renegade,55,1484,1663
orailly,56,1537,1688
nothing100,57,1500,1717
luminous11,57,1652,1730
qwertyy,59,1530,1684
roiti46,60,1667,1733
MiteshAgrawal,60,1526,1681
vadi,62,1575,1701
hasib,63,1629,1720
TaoSama,64,1496,1666
acm-nimo,65,1659,1728
imlike,66,1500,1714
Kihze,67,1500,1714
kbnzlevy,68,1593,1705
peto159,69,1602,1708
gshopov,69,1562,1693
KD35OKC,71,1299,1548
MDCCXXIX,72,1497,1663
g656574180,73,1678,1729
VadymKa,74,1673,1727
minhduc150496,75,1575,1695
KIRILL_,76,1543,1682
hnust_wuzhanhui1,77,1426,1626
PM1729,78,1627,1712
Groexhy,79,1551,1684
wmtai,80,1552,1684
Ayn_Rand,81,1518,1669
Antonov,81,1649,1717
arilato,83,1579,1693
muntasir,84,1516,1667
shiroikoi,85,1620,1706
ALiang,86,1588,1695
rachel,87,1550,1680
axp,88,1425,1621
Vax,89,1512,1664
BaqablH,90,1631,1707
xyk0058,91,1569,1686
cctt,91,1683,1720
slitvinov,93,1553,1679
lukgar,94,1475,1644
ashish1610,95,1612,1699
cormoran,96,1600,1694
hnust_fanjinyu,97,1629,1703
wall-e,98,1242,1499
XC_KiwiBerry,99,1694,1718
Farsid,100,1630,1702
carolz,101,1500,1702
KiloGram,101,1608,1694
Rainbow6174,103,1500,1701
31201140-1,104,1677,1711
laptop_recai,105,1307,1544
zh00ng,106,1500,1700
missAsuzy,107,1569,1679
akill3r,107,1523,1661
SouthRa,109,1499,1650
entalent,110,1507,1653
ac_magician,111,1607,1689
kona,112,1489,1644
wenshijie,112,1604,1688
vacuous,114,1647,1699
euinstelar,115,1570,1676
Stratonov,116,1670,1704
Tangled,116,1524,1658
FishKOH,118,1658,1700
quakerzyq,119,1577,1676
LiaoJingyi,120,1504,1648
tovietanh,121,1389,1590
vatsalchanana,122,1604,1683
Someday,123,1592,1679
fenx91,124,1500,1694
logickaiser,125,1528,1656
Canberra,126,1343,1561
klhoab,127,1692,1702
diptesh1ce3,127,1660,1695
CodeItLikeAidos,129,1594,1677
HooF,130,1632,1687
echo_heu,131,1452,1620
Philae,132,1684,1697
belowthebelt,132,1551,1661
GiorgiKldiashvili,134,1680,1696
VKundas,135,1441,1613
msstar,136,1633,1685
adi1994,137,1522,1649
wust-lyf,138,1512,1644
AresEyE,139,1442,1612
Ahoma,140,1437,1609
lifecodemohit,141,1590,1670
Spirit_of_the_moon,142,1507,1640
Amankos_R,142,1655,1686
MiloserdOFF,144,1439,1609
yanaz,145,1531,1649
hadis_yuki,146,1319,1539
Abdelrahman_Waheed,147,1531,1648
severus,148,1341,1553
sunset1995,149,1519,1642
balle,150,1564,1658
Marcil,151,1603,1669
460002326,152,1694,1689
kubusgol,153,1681,1685
Kuzey,154,1340,1550
chiyar,155,1661,1681
915507430,155,1385,1577
Hakeem_qonirat,155,1473,1621
kshitij_jain,158,1562,1654
nikiror,159,1650,1676
Nozim.Safarov,160,1263,1497
tsiki,161,1683,1682
TheMaverick,161,1667,1678
Staelth,163,1535,1643
_Broken_,164,1485,1623
koprus77,165,1579,1656
Evensgn,165,1695,1681
Aidin,167,1546,1645
OmarHashim,168,1646,1671
pinaggle,169,1500,1678
0o_o0,170,1667,1673
